topaz_id,wepp_id,width,length,area,slope,aspect,dom_landuse,landuse_description,dom_soil,soil_description,cli_fn,longest_fp,longest_fp_length,longest_fp_slope
,,m,m,ha,decimal,degree,,,,,,,m,decimal
1032,245,379.7056274847714,87.69951665079165,3.33,1.0226510956896184,128.37516119775668,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1033,246,379.7056274847714,40.2943725152286,1.53,1.1398880656506392,213.1504055431924,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1041,247,266.6370219517865,462.42640687119285,12.33,0.74417979529551,92.53155312063524,105,High Severity Fire,459982-sand loam-forest high sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - forest high sev fire",wepp.cli,,,
1042,248,989.1168824543142,164.6923663822148,16.29,1.0001290193665515,64.21062413460913,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1043,249,989.1168824543142,141.94480196478182,14.040000000000001,1.1029463231821457,149.88680409539631,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1052,250,212.1320343559643,106.06601717798212,2.25,0.5401771441205826,94.2482352194421,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1053,251,212.1320343559643,50.91168824543142,1.08,1.238838816550744,194.18683276291645,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1061,252,266.25613362823697,405.6244584051393,10.8,0.5920111666416974,105.75678425479616,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1062,253,120.0,22.5,0.27,0.8311528012875139,73.36451847176862,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1063,254,120.0,67.5,0.81,0.4968348570019046,128.9965416211923,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1072,255,1453.675323681471,136.82560112273254,19.89,1.3916063809556227,81.94796556304502,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1073,256,1453.675323681471,123.20495304716638,17.91,1.3647066273573645,141.49600830711026,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1081,257,288.24243042640063,349.7056274847714,10.08,1.1373925305316408,80.47413876786031,119,Shrub High Severity Fire,459982-sand loam-shrub high sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - shrub high sev fire",wepp.cli,,,
1082,258,404.5584412271571,68.96407825621,2.7899000000000003,0.8296373927358958,328.9300109681424,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1083,259,404.5584412271571,53.39154445642065,2.16,0.9858267435859775,81.5221149810627,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1101,260,290.70551290725945,414.8528137423857,12.06,0.9674022164617616,74.65595257175625,105,High Severity Fire,459983-sand loam-forest high sev fire,"Corbett loamy coarse sand, 50 to 80 percent slopes (LCOS) - forest high sev fire",wepp.cli,,,
1102,261,524.5584412271571,228.1919240875672,11.97,1.845059081996755,70.14924501242982,105,High Severity Fire,459983-sand loam-forest high sev fire,"Corbett loamy coarse sand, 50 to 80 percent slopes (LCOS) - forest high sev fire",wepp.cli,,,
1103,262,524.5584412271571,65.19769259644777,3.4200000000000004,1.4954039262182697,120.90702802742574,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1111,263,343.5685763509275,290.77164466275354,9.99,0.8878316659752981,111.05694075961192,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1112,264,102.42640687119284,61.50757595082502,0.63,1.4599353073584893,97.14153988385004,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1113,265,102.42640687119284,52.72077938642145,0.54,0.9071339329703084,172.11648784924415,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1122,266,132.42640687119285,33.981137949147964,0.45,0.378489805330983,54.02185508536662,21,Low Intensity Residential,Developed_Low_Intensity,Developed_Low_Intensity,wepp.cli,,,
1123,267,132.42640687119285,74.75850348812551,0.9900000000000001,0.746546727786769,176.51719588518756,105,High Severity Fire,459963-sand loam-forest high sev fire,Cobbly alluvial land (CBV-S) - forest high sev fire,wepp.cli,,,
1132,268,544.2640687119285,171.97534318500306,9.3599,0.5290392747726471,60.01730144222901,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1133,269,544.2640687119285,99.21654414519408,5.4,0.8371529179549612,195.31267623451504,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1142,270,446.98484809835,167.11975879675407,7.470000000000001,0.6521737014503525,56.27575694812789,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1143,271,446.98484809835,215.44354447292392,9.63,1.0264211459892378,187.6554996874778,105,High Severity Fire,460076-loam-forest high sev fire,"Neuns very stony loam, 8 to 50 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1151,272,452.0622604983944,314.5584412271571,14.22,0.6967055212110822,144.70487160768636,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1152,273,484.2640687119285,146.82072157266506,7.11,0.7625188205724759,67.36153645156324,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1153,274,484.2640687119285,109.65091864287643,5.3100000000000005,0.9493001581141716,193.18974434193396,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1161,275,308.1971634332324,353.3452377915607,10.8899,0.5553595125412841,163.75785611658128,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1162,276,542.1320343559643,99.60673153017105,5.4,1.3590521355741103,124.13995912195436,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1163,277,542.1320343559643,151.0702094874261,8.190000000000001,1.3721857181164052,194.80195168144135,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1171,278,298.6965441348762,343.492424049175,10.26,0.5965918185630255,182.69733500478293,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1172,279,132.42640687119285,156.31323456608064,2.0700000000000003,0.8834931834568731,156.75500514442464,105,High Severity Fire,460076-loam-forest high sev fire,"Neuns very stony loam, 8 to 50 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1173,280,132.42640687119285,54.36982071863674,0.7200000000000001,1.1222518246891802,228.85975119132445,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1181,281,463.010539344239,272.13203435596427,12.600000000000001,0.6422881550512684,178.96723290780096,105,High Severity Fire,459953-sand loam-forest high sev fire,"Chaix sandy loam, 30 to 50 percent slopes (SL) - forest high sev fire",wepp.cli,,,
1182,282,332.13203435596427,81.2929714905567,2.7,0.6914605693119584,91.51446582976205,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1183,283,332.13203435596427,119.22969151948315,3.9600000000000004,0.9660217394669172,214.3925633792086,105,High Severity Fire,460077-loam-forest high sev fire,"Neuns very stony loam, 50 to 80 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1191,284,272.5795787794875,379.7056274847714,10.3499,0.488498073062758,115.38585782887596,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1192,285,1501.248916810278,180.4497555112876,27.09,0.9964994037260116,49.359795381707016,105,High Severity Fire,459953-sand loam-forest high sev fire,"Chaix sandy loam, 30 to 50 percent slopes (SL) - forest high sev fire",wepp.cli,,,
1193,286,1501.248916810278,311.1409405659743,46.709900000000005,0.6596708401749645,169.7787169519212,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1201,287,314.2780789586475,400.91883092036784,12.600000000000001,0.4767221341842445,103.2369865214748,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
1202,288,157.27922061357856,11.444614189832771,0.18000000000000002,0.7202732781202532,66.5,105,High Severity Fire,460076-loam-forest high sev fire,"Neuns very stony loam, 8 to 50 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
1203,289,157.27922061357856,114.44614189832772,1.8,0.353576409751167,100.7127344139307,105,High Severity Fire,460076-loam-forest high sev fire,"Neuns very stony loam, 8 to 50 percent slopes (STV-L) - forest high sev fire",wepp.cli,,,
