DAILY TOTAL WATER BALANCE AND SEDIMENT

Total Area (m^2): 23132916.841186523

Year,Month,Day,Julian,Water Year,WaterYear,Sed Del (kg),Sed Del c1 (kg),Sed Del c2 (kg),Sed Del c3 (kg),Sed Del c4 (kg),Sed Del c5 (kg),Cumulative Sed Del (tonnes),Sed Del Density (tonne/ha),Precipitation (mm),Rain + Melt (mm),Transpiration (mm),Evaporation (mm),ET (mm),Percolation (mm),Runoff (mm),Lateral Flow (mm),Storage (mm),Reservoir Volume (mm),Baseflow (mm),Aquifer Losses (mm),Streamflow (mm)
2018,9,15,258,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06325452178763477,0.0,0.11325779280149363,135.603904265704,1.6793298728406012,0.06717319491362404,0.0,0.18043098771511767
2018,9,16,259,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06325452178763477,0.0,0.11232520899396518,135.42833164425534,1.675411199714612,0.06701644798858448,0.0,0.17934165698254967
2018,9,17,260,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06325452178763477,0.0,0.1110000284131612,135.2540631206058,1.6716492735136623,0.0668659709405465,0.0,0.1778659993537077
2018,9,18,261,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06277524114802482,0.0,0.10976402509127839,135.08127888070356,1.6675585437211407,0.06670234174884562,0.0,0.176466366840124
2018,9,19,262,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.0624266734657741,0.0,0.1088524747485258,134.90991273774836,1.663282875438069,0.06653131501752277,0.0,0.17538378976604857
2018,9,20,263,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06229518362165553,0.0,0.10770162668042348,134.7397707895417,1.6590467440422016,0.06636186976168806,0.0,0.17406349644211155
2018,9,21,264,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06225083571129191,0.0,0.10662353450236023,134.57117263308825,1.6549357099918054,0.06619742839967221,0.0,0.17282096290203244
2018,9,22,265,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06220726474573366,0.0,0.10536034347329984,134.40354997476788,1.6509455463378668,0.06603782185351467,0.0,0.1713981653268145
2018,9,23,266,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06220570505910785,0.0,0.10432661813024738,134.2363701290398,1.64711342954346,0.0658845371817384,0.0,0.17021115531198577
2018,9,24,267,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06219986888210655,0.0,0.10349010837856713,134.0705991253191,1.643428761243828,0.06573715044975312,0.0,0.16922725882832024
2018,9,25,268,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.062195592391731086,0.0,0.10239454911039089,133.90633016987243,1.639887203185806,0.06559548812743224,0.0,0.16799003723782313
2018,9,26,269,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06219287391915874,0.0,0.10138063950242707,133.7422962370063,1.6364845889775326,0.0654593835591013,0.0,0.16684002306152837
2018,9,27,270,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06219015544658639,0.0,0.10037452008538916,133.57962801766948,1.6332153608650177,0.06532861443460071,0.0,0.16570313451998986
2018,9,28,271,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06218431600977415,0.0,0.09945128668739098,133.41817347607335,1.630071062440191,0.06520284249760765,0.0,0.1646541291849986
2018,9,29,272,2018,583202,335065.6201623745,4399.5385326121395,36028.89922257139,30458.246138976097,64642.74624428531,199536.19002392958,35034.91988594488,0.14484365394242624,6.300000193225128,6.300000193225128,0.47634219262822086,1.2364729742862999,1.7128151669145208,0.06215979524680577,2.035676900069159,0.0979982427820284,135.8080015511292,1.6270280151893892,0.06508112060757557,0.0,2.1987562634587627
2018,9,30,273,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,35034.91988594488,0.0,1.0000000000000009,1.0000000000000009,0.43108335121568103,0.8565388149290409,1.287622166144722,0.06211388417497134,0.016611206465854695,0.09728390973673892,135.33487617115858,1.624060778756785,0.0649624311502714,0.0,0.17885754735286502
2018,10,1,274,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,35034.91988594488,0.0,2.4999999978074436,2.4999999978074436,0.21973920402634636,0.7043592823884809,0.9240984864148273,0.062077323176923736,0.2082958005923706,0.09641199462033388,136.54218600789136,1.6211756707834373,0.06484702683133749,0.0,0.36955482204404194
2018,10,2,275,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,35034.91988594488,0.0,0.5000000000000004,0.5000000000000004,0.39919498395296626,0.6386806131846453,1.0378755971376115,0.06203181308195394,0.0,0.0956023964259136,135.7239573918808,1.6183604570340537,0.06473441828136214,0.0,0.16033681470727573
2018,10,3,276,2019,583491,1093330.703485946,16747.905283280314,108049.2894205319,115945.79563160568,239844.67947726112,612743.033673267,36128.25058943083,0.47262985078446645,13.49999995362388,13.49999995362388,0.6587431690318546,1.4516120583060104,2.110355227337865,0.061952832839502016,4.961217284991499,0.09437022846025896,141.99440925405673,1.6155788715921937,0.06462315486368775,0.0,5.120210668315446
2018,10,4,277,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,2.799999960779896,2.799999960779896,0.5958719782758155,1.242613149473133,1.8384851277489485,0.06957189586360349,0.26106917510832833,0.09347230627496557,142.53187185210663,1.6205276125921095,0.06482110450368438,0.0,0.4193625858869783
2018,10,5,278,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,2.299999949368577,2.299999949368577,0.4581506224369905,1.020227067471669,1.4783776899086594,0.07155641131095354,0.1261443050569665,0.09273504257702632,143.06217606704453,1.6272629193993786,0.06509051677597515,0.0,0.28396986440996796
2018,10,6,279,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,1.0005851735758364,1.0594144149398244,2.0599995885156606,0.07155174195696201,0.0,0.09228883569696646,140.84043732331398,1.6337241445803654,0.06534896578321461,0.0,0.15763780148018108
2018,10,7,280,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.9996964426197842,0.489811041535507,1.489507484155291,0.07159144075852786,0.0,0.09214617814191955,139.18593914632473,1.6399666195556786,0.06559866478222715,0.0,0.1577448429241467
2018,10,8,281,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,1.0769079948728872,0.2200590235005009,1.2969670183733881,0.07159728547159014,0.0,0.09218279714837553,137.72437715177625,1.6459652402450415,0.06583860960980166,0.0,0.1580214067581772
2018,10,9,282,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.9275101273438076,0.06395197451620234,0.9914621018600099,0.07156927016539713,0.0,0.09202013565329904,136.5684648883467,1.651695900800637,0.06606783603202548,0.0,0.1580879716853245
2018,10,10,283,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.48391103981049394,0.010556391929915804,0.49446743174040975,0.0715338601674632,0.0,0.09168597009284839,135.91197198625397,1.6571619249360747,0.06628647699744299,0.0,0.15797244709029137
2018,10,11,284,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.4084970330169841,0.0048927132297458716,0.41338974624672997,0.07149533320930951,0.0,0.0905145513907913,135.33688852479708,1.6623707811479413,0.06649483124591765,0.0,0.15700938263670894
2018,10,12,285,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.41548461618289334,0.00209309953297009,0.41757771571586344,0.07147276570566771,0.0,0.08956328577690793,134.75797016709498,1.6673487156076914,0.06669394862430765,0.0,0.15625723440121558
2018,10,13,286,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.3464649756024044,2.022748707305633e-05,0.34648520308947744,0.07145019820202593,0.0,0.08890344086867917,134.25043154585865,1.6721049651854096,0.06688419860741639,0.0,0.15578763947609556
2018,10,14,287,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.22214942405050478,1.0113743536528165e-05,0.2221595377940413,0.07145019820202593,0.0,0.08811484321672508,133.8696730302509,1.676670964780019,0.06706683859120076,0.0,0.15518168180792585
2018,10,15,288,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.2374200114669544,1.0113743536528165e-05,0.23743012521049092,0.07145019820202593,0.0,0.08737487579913375,133.47400609489043,1.6810543243908442,0.06724217297563377,0.0,0.1546170487747675
2018,10,16,289,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.2169676889401928,1.0113743536528165e-05,0.21697780268372932,0.07143307161968028,0.0,0.08613417563715611,133.09966370805967,1.6852452230348907,0.06740980892139563,0.0,0.15354398455855173
2018,10,17,290,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.17534354956166642,1.0113743536528165e-05,0.17535366330520294,0.07143073728370482,0.0,0.08474140828784421,132.76806995245605,1.6892661513971998,0.067570646055888,0.0,0.1523120543437322
2018,10,18,291,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.15148245095980578,1.0113743536528165e-05,0.1514925647033423,0.07017372609632437,0.0,0.08366755133439303,132.46089578647064,1.6918692314376362,0.06767476925750546,0.0,0.1513423205918985
2018,10,19,292,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.1436884766617743,1.0113743536528165e-05,0.14369859040531083,0.06484303402638573,0.0,0.0829306958318011,132.16944712571166,1.6890374962065164,0.06756149984826065,0.0,0.15049219568006175
2018,10,20,293,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.16338146138790305,1.0113743536528165e-05,0.16339157513143956,0.06278926552801802,0.0,0.08192036189080816,131.86086149091557,1.6842652618862737,0.06737061047545095,0.0,0.1492909723662591
2018,10,21,294,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.13693370638157676,1.0113743536528165e-05,0.13694382012511327,0.06197538366497609,0.0,0.08128231049153808,131.5811517106765,1.6788700350757988,0.06715480140303196,0.0,0.14843711189457004
2018,10,22,295,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.13364434377709594,1.0113743536528165e-05,0.13365445752063246,0.061530687032505145,0.0,0.08033415418586079,131.3044114013394,1.6732459207052721,0.06692983682821088,0.0,0.14726399101407167
2018,10,23,296,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.08814535040614371,1.0113743536528165e-05,0.08815546414968024,0.061492931326937894,0.0,0.07959842024028789,131.07512059530518,1.667809015203999,0.06671236060815997,0.0,0.14631078084844784
2018,10,24,297,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.0686477829917644,1.0113743536528165e-05,0.06865789673530093,0.061492931326937894,0.0,0.07824254358506268,130.8659103839383,1.662589585922777,0.06650358343691108,0.0,0.14474612702197376
2018,10,25,298,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.102547240239854,1.0113743536528165e-05,0.10255735398339053,0.0614715291747077,0.0,0.07749055111933813,130.62489246734123,1.6575575316605737,0.06630230126642295,0.0,0.14379285238576106
2018,10,26,299,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.08834321025327344,0.0,0.08834321025327344,0.061450127022477485,0.0,0.07669995291177575,130.39963820980054,1.6527053574166282,0.06610821429666512,0.0,0.14280816720844086
2018,10,27,300,2019,583491,0.0,0.0,0.0,0.0,0.0,0.0,36128.25058943083,0.0,0.0,0.0,0.06916776575881926,0.0,0.06916776575881926,0.061426789459408035,0.0,0.0758942378243393,130.1921122154233,1.648023932579371,0.06592095730317485,0.0,0.14181519512751414
